latitude,longitude,descr_athmo,descr_lum,descr_etat_surf,descr_dispo_secu,descr_grav
47.4833,-1.23333,1.0,0.0,8.0,14.0,1
45.6,5.63333,2.0,4.0,3.0,14.0,1
45.6,5.63333,2.0,4.0,3.0,14.0,1
42.7667,2.98333,4.0,3.0,6.0,14.0,1
45.9667,0.066667,3.0,4.0,7.0,14.0,1
48.2833,-4.05,3.0,4.0,8.0,14.0,1
48.5659,3.39723,3.0,4.0,7.0,14.0,1
48.1667,-3.78333,0.0,4.0,8.0,14.0,1
43.75,-0.35,2.0,3.0,3.0,14.0,1
43.6167,-0.633333,0.0,3.0,8.0,14.0,1
43.6167,-0.633333,0.0,3.0,8.0,14.0,1
49.0833,0.95,2.0,0.0,8.0,14.0,1
49.2667,1.38333,2.0,4.0,3.0,14.0,1
48.9833,1.19167,0.0,3.0,7.0,14.0,1
49.1,0.616667,3.0,4.0,7.0,14.0,1
49.2,1.25,3.0,3.0,7.0,14.0,1
44.4833,2.4,7.0,4.0,8.0,14.0,1
48.0167,2.9,0.0,4.0,8.0,14.0,1
44.5167,3.91667,1.0,0.0,8.0,14.0,1
49.5833,2.08333,2.0,4.0,8.0,14.0,1
49.3833,2.08333,2.0,4.0,8.0,14.0,1
44.1167,3.83333,3.0,3.0,7.0,14.0,1
48.0625,7.48001,0.0,4.0,8.0,14.0,1
47.8833,7.01667,3.0,4.0,7.0,14.0,1
47.6333,7.1,3.0,4.0,7.0,14.0,1
47.9333,-1.6,1.0,0.0,8.0,14.0,1
47.8167,-1.95,1.0,4.0,6.0,14.0,1
47.8167,-1.95,1.0,4.0,6.0,14.0,1
47.7,-2.0,5.0,4.0,6.0,11.0,1
47.7,-2.0,5.0,4.0,6.0,14.0,1
47.55,-0.416667,2.0,4.0,3.0,14.0,1
47.65,-0.433333,7.0,4.0,6.0,14.0,1
47.35,-0.85,3.0,3.0,7.0,14.0,1
47.1333,-0.15,3.0,4.0,7.0,14.0,1
47.2667,-0.083333,3.0,3.0,7.0,14.0,1
43.9353,4.32167,6.0,4.0,7.0,14.0,1
44.2333,4.13333,7.0,4.0,6.0,14.0,1
43.8,4.25,3.0,0.0,7.0,14.0,1
45.5,6.91667,2.0,3.0,3.0,14.0,1
45.6333,-0.65,3.0,3.0,7.0,14.0,1
44.2,3.18333,6.0,4.0,6.0,14.0,1
46.5833,0.266667,3.0,3.0,7.0,14.0,1
47.2833,1.33333,3.0,4.0,7.0,7.0,1
48.5,6.51667,0.0,0.0,8.0,14.0,1
48.5,6.51667,0.0,0.0,8.0,14.0,1
48.6833,5.85,3.0,4.0,7.0,14.0,1
48.6833,5.85,3.0,4.0,7.0,14.0,1
48.65,6.18333,6.0,0.0,6.0,14.0,1
45.1833,4.18333,3.0,0.0,6.0,7.0,1
49.1667,4.01667,6.0,3.0,6.0,14.0,1
48.7667,0.816667,2.0,4.0,3.0,14.0,1
46.1833,-1.06667,3.0,4.0,7.0,14.0,1
46.15,6.41667,0.0,3.0,0.0,14.0,1
46.15,6.41667,0.0,3.0,0.0,14.0,1
45.15,3.53333,3.0,4.0,7.0,14.0,1
45.05,4.03333,3.0,4.0,7.0,7.0,1
45.05,4.03333,3.0,4.0,7.0,14.0,1
46.6167,0.433333,3.0,3.0,7.0,14.0,1
45.1333,0.85,5.0,4.0,2.0,11.0,1
45.25,1.15,3.0,4.0,7.0,14.0,1
48.0589,5.05695,2.0,3.0,6.0,14.0,1
46.3333,6.68333,2.0,3.0,3.0,14.0,1
46.0,6.0,3.0,4.0,7.0,14.0,1
43.9,2.0,3.0,4.0,7.0,14.0,1
48.9583,4.36667,3.0,0.0,7.0,14.0,1
